id_interne;programme;region;sexe;age;date_inscription;statut
AEJ-0001;AEJ;Abidjan;M;19;2025-02-02;Actif
AEJ-0002;AEJ;Bouaké;M;20;2025-03-03;Actif
AEJ-0003;AEJ;Korhogo;F;21;2025-04-04;Actif
AEJ-0004;AEJ;San-Pédro;M;22;2025-05-05;Actif
AEJ-0005;AEJ;Yamoussoukro;M;23;2025-06-06;Sorti
AEJ-0006;AEJ;Abidjan;F;24;2025-07-07;Actif
AEJ-0007;AEJ;Abidjan;M;25;2025-08-08;Actif
AEJ-0008;AEJ;Bouaké;M;26;2025-09-09;Actif
AEJ-0009;AEJ;Korhogo;F;27;2025-10-10;Actif
AEJ-0010;AEJ;San-Pédro;M;28;2025-11-11;Sorti
AEJ-0011;AEJ;Yamoussoukro;M;29;2025-12-12;Actif
AEJ-0012;AEJ;Abidjan;F;18;2025-01-13;Actif
AEJ-0013;AEJ;Abidjan;M;19;2025-02-14;Actif
AEJ-0014;AEJ;Bouaké;M;20;2025-03-15;Actif
AEJ-0015;AEJ;Korhogo;F;21;2025-04-16;Sorti
AEJ-0016;AEJ;San-Pédro;M;22;2025-05-17;Actif
AEJ-0017;AEJ;Yamoussoukro;M;23;2025-06-18;Actif
AEJ-0018;AEJ;Abidjan;F;24;2025-07-19;Actif
AEJ-0019;AEJ;Abidjan;M;25;2025-08-20;Actif
AEJ-0020;AEJ;Bouaké;M;26;2025-09-21;Sorti
AEJ-0021;AEJ;Korhogo;F;27;2025-10-22;Actif
AEJ-0022;AEJ;San-Pédro;M;28;2025-11-23;Actif
AEJ-0023;AEJ;Yamoussoukro;M;29;2025-12-24;Actif
AEJ-0024;AEJ;Abidjan;F;18;2025-01-25;Actif
AEJ-0025;AEJ;Abidjan;M;19;2025-02-26;Sorti
